Date,Advisor,Portfolio Value USD,Cash,NVDA,AAPL,TMO,NVDA close,NVDA total,AAPL close,AAPL total,TMO close,TMO total
2024-08-08,always_hold,2016.79,500.0,4.796,2.413,0.831,104.97,503.436,213.31,514.717,600.04,498.633
2024-08-09,always_hold,2019.59,500.0,4.796,2.413,0.831,104.75,502.381,216.24,521.787,596.18,495.426
2024-08-10,always_hold,2019.59,500.0,4.796,2.413,0.831,104.75,502.381,216.24,521.787,596.18,495.426
2024-08-11,always_hold,2019.59,500.0,4.796,2.413,0.831,104.75,502.381,216.24,521.787,596.18,495.426
2024-08-12,always_hold,2045.59,500.0,4.796,2.413,0.831,109.02,522.86,217.53,524.9,599.07,497.827
2024-08-13,always_hold,2093.03,500.0,4.796,2.413,0.831,116.14,557.007,221.27,533.925,604.21,502.099
2024-08-14,always_hold,2101.67,500.0,4.796,2.413,0.831,118.08,566.312,221.72,535.01,602.1,500.345
2024-08-15,always_hold,2133.15,500.0,4.796,2.413,0.831,122.86,589.237,224.72,542.249,603.69,501.666
2024-08-16,always_hold,2144.85,500.0,4.796,2.413,0.831,124.58,597.486,226.05,545.459,603.98,501.907
2024-08-17,always_hold,2144.85,500.0,4.796,2.413,0.831,124.58,597.486,226.05,545.459,603.98,501.907
2024-08-18,always_hold,2144.85,500.0,4.796,2.413,0.831,124.58,597.486,226.05,545.459,603.98,501.907
2024-08-19,always_hold,2173.47,500.0,4.796,2.413,0.831,130.0,623.48,225.89,545.073,607.6,504.916
2024-08-20,always_hold,2167.54,500.0,4.796,2.413,0.831,127.25,610.291,226.51,546.569,614.54,510.683
2024-08-21,always_hold,2169.64,500.0,4.796,2.413,0.831,128.5,616.286,226.4,546.303,610.17,507.051
2024-08-22,always_hold,2137.06,500.0,4.796,2.413,0.831,123.74,593.457,224.53,541.791,603.86,501.808
2024-08-23,always_hold,2171.51,500.0,4.796,2.413,0.831,129.37,620.459,226.84,547.365,606.12,503.686
2024-08-24,always_hold,2171.51,500.0,4.796,2.413,0.831,129.37,620.459,226.84,547.365,606.12,503.686
2024-08-25,always_hold,2171.51,500.0,4.796,2.413,0.831,129.37,620.459,226.84,547.365,606.12,503.686
2024-08-26,always_hold,2157.93,500.0,4.796,2.413,0.831,126.46,606.502,227.18,548.185,605.59,503.245
2024-08-27,always_hold,2172.81,500.0,4.796,2.413,0.831,128.3,615.327,228.03,550.236,610.4,507.242
2024-08-28,always_hold,2158.47,500.0,4.796,2.413,0.831,125.61,602.426,226.49,546.52,613.14,509.519
2024-08-29,always_hold,2126.75,500.0,4.796,2.413,0.831,117.59,563.962,229.79,554.483,611.68,508.306
2024-08-30,always_hold,2136.2,500.0,4.796,2.413,0.831,119.37,572.499,229.0,552.577,615.07,511.123
2024-08-31,always_hold,2136.2,500.0,4.796,2.413,0.831,119.37,572.499,229.0,552.577,615.07,511.123
2024-09-01,always_hold,2136.2,500.0,4.796,2.413,0.831,119.37,572.499,229.0,552.577,615.07,511.123
2024-09-02,always_hold,2136.2,500.0,4.796,2.413,0.831,119.37,572.499,229.0,552.577,615.07,511.123
2024-09-03,always_hold,2136.2,500.0,4.796,2.413,0.831,119.37,572.499,229.0,552.577,615.07,511.123
2024-08-06,Initial,2000.0,500.0,4.796,2.413,0.831,104.25,499.983,207.23,500.046,602.02,500.279
2024-08-06,dory,1500.31,-827.92,0.0,11.235,0.0,104.25,0.0,207.23,2328.229,602.02,0.0
2024-08-07,dory,2357.33,-1529.38,0.0,18.524,0.0,98.91,0.0,209.82,3886.706,587.37,0.0
2024-08-08,dory,3951.35,1529.38,23.073,0.0,0.0,104.97,2421.973,213.31,0.0,600.04,0.0
2024-08-09,dory,2416.9,-1529.48,0.0,18.25,0.0,104.75,0.0,216.24,3946.38,596.18,0.0
2024-08-10,dory,2416.9,-1529.48,0.0,18.25,0.0,104.75,0.0,216.24,3946.38,596.18,0.0
2024-08-11,dory,2416.9,-1529.48,0.0,18.25,0.0,104.75,0.0,216.24,3946.38,596.18,0.0
